DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
12/03,QH150,SGN,DAD,58m,23:15,23:23,00:40,Landed 07:21,green
12/03,QH283,HAN,SGN,1h40m,16:20,18:34,18:35,Landed 03:14,red
12/03,QH268,SGN,HAN,1h42m,13:10,15:39,15:20,Landed 00:21,red
12/03,QH251,HAN,SGN,1h54m,06:15,12:32,08:30,Landed 21:25,red
12/03,QH224,SGN,HAN,1h42m,03:20,09:26,05:30,Landed 18:09,red
11/03,QH1125,UIH,SGN,47m,11:15,11:45,12:30,Landed 19:32,green
11/03,QH1124,SGN,UIH,44m,09:30,10:04,10:45,Landed 17:49,green
11/03,QH251,HAN,SGN,1h46m,06:15,06:57,08:30,Landed 15:43,green
11/03,QH224,SGN,HAN,1h43m,03:20,03:47,05:30,Landed 12:30,green
11/03,QH151,DAD,SGN,1h2m,01:10,01:38,02:40,Landed 09:39,green
10/03,QH150,SGN,DAD,58m,23:15,23:41,00:40,Landed 07:39,green
10/03,QH283,HAN,SGN,1h39m,16:20,17:17,18:35,Landed 01:56,yellow
10/03,QH268,SGN,HAN,1h39m,13:10,14:15,15:20,Landed 22:53,yellow
10/03,QH1125,UIH,SGN,59m,11:15,11:45,12:30,Landed 19:44,green
