reg_number,aircraft_model,age,airline_code,DATE,FLIGHT,FROM,TO,std_utc,scheduled_dep_hour,dep_delay_minutes,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,flight_legs,cumulative_delay,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,time_crawled_UTC,dep_recent_index,dep_recent_delay_avg,actual_turnaround
VN-A658,A320-214,11.4,VJC,11/03,VJ976,PQC,ICN,2026-03-11 13:45:00,13,33.0,37.0,60.0,42.0,6,157.0,,,,,,,,,,,75.0
VN-A227,A321-211,13.0,BAV,11/03,QH286,SGN,HAN,2026-03-11 13:50:00,13,7.0,5.0,40.0,62.0,7,61.0,,,,,,,,,,,69.0
VN-A623,A321-272N,7.1,VNA,11/03,VJ518,DAD,HAN,2026-03-11 13:55:00,13,48.0,43.0,30.0,6.0,8,153.0,,,,,,,,,,,54.0
VN-A632,A321-211,8.5,VJC,11/03,VJ518,DAD,HAN,2026-03-11 13:55:00,13,48.0,43.0,30.0,6.0,8,153.0,,,,,,,,,,,54.0
VN-A650,A320-214,11.1,VJC,11/03,VJ284,SGN,HPH,2026-03-11 13:55:00,13,23.0,47.0,220.0,193.0,7,226.0,,,,,,,,,,,216.0
VN-A542,A321-211,10.0,VJC,11/03,VJ568,HUI,HAN,2026-03-11 14:00:00,14,25.0,27.0,30.0,24.0,5,111.0,,,,,,,,,,,49.0
VN-A662,A320-214,10.5,VJC,11/03,VJ314,SGN,HUI,2026-03-11 14:05:00,14,54.0,25.0,30.0,19.0,8,99.0,,,,,,,,,,,73.0
VN-A505,A321-272N,6.5,VNA,11/03,VN7163,HAN,DAD,2026-03-11 14:10:00,14,10.0,17.0,175.0,185.0,7,67.0,,,,,,,,,,,195.0
VN-A534,A321-271NX,5.3,VJC,11/03,VJ164,SGN,HAN,2026-03-11 14:10:00,14,14.0,24.0,200.0,196.0,4,90.0,,,,,,,,,,,210.0
VN-A619,A321-272N,7.1,VNA,11/03,VN1187,HPH,SGN,2026-03-11 14:20:00,14,14.0,7.0,35.0,51.0,7,160.0,,,,,,,,,,,65.0
VN-A671,A320-214,10.1,VJC,11/03,VJ7238,HAN,PVG,2026-03-11 14:25:00,14,3.0,35.0,110.0,94.0,7,166.0,,,,,,,,,,,97.0
VN-A617,A321-272N,7.3,VNA,11/03,VN814,SAI,SGN,2026-03-11 14:30:00,14,0.0,6.0,60.0,74.0,8,69.0,,,,,,,,,,,55.0
VN-A814,A330-343,10.4,VJC,11/03,VJ82,MEL,SGN,2026-03-11 14:30:00,14,13.0,29.0,115.0,126.0,2,29.0,,,,,,,,,,,139.0
VN-A629,A321-211,7.3,VJC,11/03,VJ3908,SGN,CAN,2026-03-11 14:45:00,14,24.0,24.0,110.0,105.0,5,53.0,,,,,,,,,,,129.0
VN-A392,A321-231,13.5,VNA,11/03,VN1548,HUI,HAN,2026-03-11 14:50:00,14,11.0,19.0,35.0,36.0,5,67.0,,,,,,,,,,,47.0
VN-A539,A321-271NX,1.4,VJC,11/03,VJ223,VII,SGN,2026-03-11 15:00:00,15,15.0,25.0,30.0,31.0,3,52.0,,,,,,,,,,,46.0
VN-A585,A321-211,14.1,BAV,11/03,QH148,DAD,HAN,2026-03-11 15:00:00,15,7.0,12.0,90.0,87.0,9,152.0,,,,,,,,,,,94.0
VN-A637,A321-211,8.3,VJC,11/03,VJ311,HUI,SGN,2026-03-11 15:10:00,15,9.0,17.0,30.0,38.0,8,177.0,,,,,,,,,,,47.0
VN-A656,A320-214,10.9,VJC,11/03,VJ864,SGN,ICN,2026-03-11 15:15:00,15,23.0,28.0,60.0,60.0,4,78.0,,,,,,,,,,,83.0
VN-A544,A321-211,10.0,VJC,11/03,VJ1602,SGN,CXR,2026-03-11 15:30:00,15,42.0,18.0,130.0,140.0,5,85.0,,,,,,,,,,,182.0
ER-00005,A320-214,12.2,BAV,11/03,QH283,HAN,SGN,2026-03-11 15:35:00,15,25.0,35.0,50.0,43.0,6,184.0,,,,,,,,,,,68.0
VN-A669,A320-214,16.5,VJC,11/03,VJ644,SGN,DAD,2026-03-11 15:40:00,15,35.0,25.0,340.0,334.0,1,0.0,,,,,,,,,,,369.0
VN-A542,A321-211,10.0,VJC,11/03,VJ523,HAN,DAD,2026-03-11 15:45:00,15,28.0,25.0,30.0,22.0,6,136.0,,,,,,,,,,,50.0
VN-A865,B787-900,10.2,VNA,11/03,VN39,SGN,CPH,2026-03-11 15:45:00,15,16.0,15.0,1095.0,1118.0,1,0.0,,,,,,,,,,,1134.0
VN-A500,A321-271NX,0.9,VJC,11/03,VJ962,HAN,ICN,2026-03-11 15:50:00,15,25.0,36.0,160.0,153.0,7,267.0,,,,,,,,,,,178.0
VN-A516,A321-271NX,0.9,VJC,11/03,VJ7704,CXR,HAN,2026-03-11 15:59:00,15,0.0,46.0,119.0,94.0,7,112.0,,,,,,,,,,,94.0
VN-A616,A321-272N,6.9,VNA,11/03,VN270,SGN,HAN,2026-03-11 16:00:00,16,49.0,50.0,55.0,26.0,5,100.0,,,,,,,,,,,75.0
VN-A662,A320-214,10.5,VJC,11/03,VJ313,HUI,SGN,2026-03-11 16:00:00,16,44.0,54.0,30.0,1.0,9,153.0,,,,,,,,,,,45.0
VN-A634,A321-211,8.3,VJC,11/03,VJ858,SGN,MNL,2026-03-11 16:05:00,16,50.0,4.0,280.0,304.0,1,0.0,,,,,,,,,,,354.0
VN-A618,A321-272N,7.1,VNA,11/03,VN1269,VII,SGN,2026-03-11 16:10:00,16,0.0,8.0,45.0,57.0,8,86.0,,,,,,,,,,,51.0
VN-A650,A320-214,11.1,VJC,11/03,VJ285,HPH,SGN,2026-03-11 16:25:00,16,22.0,23.0,30.0,32.0,8,249.0,,,,,,,,,,,54.0
VN-A503,A321-272N,6.8,VNA,11/03,VN430,DAD,ICN,2026-03-11 16:30:00,16,25.0,34.0,195.0,188.0,8,170.0,,,,,,,,,,,213.0
VN-A526,A321-271NX,3.3,VJC,11/03,VJ968,PQC,PUS,2026-03-11 16:30:00,16,18.0,50.0,305.0,243.0,1,0.0,,,,,,,,,,,261.0
VN-A532,A321-211,11.0,VJC,11/03,VJ7526,HAN,CAN,2026-03-11 16:40:00,16,20.0,26.0,195.0,197.0,5,109.0,,,,,,,,,,,217.0
VN-A890,A350-941,9.4,VNA,11/03,VN35,HAN,MUC,2026-03-11 16:45:00,16,80.0,20.0,70.0,67.0,2,20.0,,,,,,,,,,,147.0
VN-A863,B787-900,10.6,VNA,11/03,VN31,SGN,FRA,2026-03-11 16:50:00,16,35.0,22.0,1060.0,1057.0,1,0.0,,,,,,,,,,,1092.0
VN-A227,A321-211,13.0,BAV,11/03,QH1415,HAN,CXR,2026-03-11 16:55:00,16,0.0,7.0,55.0,66.0,8,68.0,,,,,,,,,,,66.0
VN-A523,A321-271NX,0.9,VJC,11/03,VJ822,SGN,NRT,2026-03-11 16:55:00,16,45.0,27.0,210.0,192.0,5,87.0,,,,,,,,,,,237.0
VN-A525,A321-271NX,2.5,VJC,11/03,VJ868,SGN,PUS,2026-03-11 17:05:00,17,65.0,0.0,145.0,145.0,4,34.0,,,,,,,,,,,210.0
VN-A693,A321-271N,7.0,VJC,11/03,VJ990,CXR,PUS,2026-03-11 17:05:00,17,86.0,0.0,3.0,3.0,5,25.0,,,,,,,,,,,89.0
VN-A866,B787-900,10.2,VNA,11/03,VN320,SGN,KIX,2026-03-11 17:05:00,17,43.0,21.0,620.0,613.0,1,0.0,,,,,,,,,,,656.0
VN-A329,A321-231,14.3,VNA,11/03,VN647,HAN,MNL,2026-03-11 17:20:00,17,20.0,7.0,285.0,287.0,1,0.0,,,,,,,,,,,307.0
VN-A335,A321-231,13.6,VNA,11/03,VN342,SGN,NGO,2026-03-11 17:20:00,17,40.0,9.0,180.0,189.0,3,31.0,,,,,,,,,,,229.0
VN-A630,A321-211,8.9,VJC,11/03,VJ870,CXR,TAE,2026-03-11 17:20:00,17,22.0,0.0,,317.0,1,0.0,,,,,,,,,,,339.0
VN-A889,A350-941,10.4,VNA,11/03,VN348,HAN,NGO,2026-03-11 17:20:00,17,18.0,12.0,205.0,224.0,4,65.0,,,,,,,,,,,242.0
VN-A607,A321-271N,6.8,VJC,11/03,VJ821,HND,SGN,2026-03-11 17:30:00,17,3.0,56.0,90.0,90.0,4,252.0,,,,,,,,,,,93.0
VN-A390,A321-231,13.5,VNA,11/03,VN516,SGN,PKX,2026-03-11 17:45:00,17,115.0,34.0,205.0,207.0,7,166.0,,,,,,,,,,,322.0
VN-A646,A321-271N,8.2,VJC,11/03,VJ91,SGN,PER,2026-03-11 17:55:00,17,32.0,,,,1,0.0,,,,,,,,,,,
VN-A653,A321-271N,7.5,VJC,11/03,VJ932,HAN,NRT,2026-03-11 17:55:00,17,5.0,61.0,240.0,224.0,6,167.0,,,,,,,,,,,229.0
VN-A891,A350-941,9.2,VNA,11/03,VN980,DEL,HAN,2026-03-11 18:00:00,18,11.0,15.0,90.0,107.0,2,15.0,,,,,,,,,,,118.0
VN-A334,A321-231,13.8,VNA,11/03,VN336,DAD,KIX,2026-03-11 18:05:00,18,27.0,20.0,280.0,279.0,1,0.0,,,,,,,,,,,306.0
VN-A671,A320-214,10.1,VJC,11/03,VJ7239,PVG,HAN,2026-03-11 18:20:00,18,18.0,3.0,65.0,62.0,8,169.0,,,,,,,,,,,80.0
VN-A393,A321-231,13.5,VNA,11/03,VN634,CGK,HAN,2026-03-11 18:30:00,18,14.0,22.0,50.0,60.0,7,101.0,,,,,,,,,,,74.0
VN-A629,A321-211,7.3,VJC,11/03,VJ3909,CAN,SGN,2026-03-11 18:30:00,18,29.0,24.0,60.0,59.0,6,77.0,,,,,,,,,,,88.0
VN-A655,A320-214,11.1,VJC,11/03,VJ1926,AMD,HAN,2026-03-11 18:40:00,18,0.0,11.0,60.0,103.0,6,42.0,,,,,,,,,,,81.0
VN-A674,A321-271N,7.6,VJC,11/03,VJ938,HAN,KIX,2026-03-11 18:40:00,18,5.0,45.0,385.0,375.0,1,0.0,,,,,,,,,,,380.0
VN-A227,A321-211,13.0,BAV,11/03,QH1416,CXR,HAN,2026-03-11 19:22:00,19,0.0,0.0,,55.0,1,0.0,,,,,,,,,,,55.0
VN-A532,A321-211,11.0,VJC,11/03,VJ7527,CAN,HAN,2026-03-11 19:30:00,19,11.0,20.0,75.0,71.0,6,129.0,,,,,,,,,,,82.0
VN-A544,A321-211,10.0,VJC,11/03,VJ1603,CXR,SGN,2026-03-11 19:30:00,19,6.0,42.0,180.0,153.0,6,127.0,,,,,,,,,,,159.0
VN-A634,A321-211,8.3,VJC,11/03,VJ859,MNL,SGN,2026-03-11 19:45:00,19,41.0,50.0,55.0,45.0,2,50.0,,,,,,,,,,,86.0
VN-A658,A320-214,11.4,VJC,11/03,VJ977,ICN,PQC,2026-03-11 20:00:00,20,33.0,33.0,60.0,63.0,7,190.0,,,,,,,,,,,96.0
VN-A329,A321-231,14.3,VNA,11/03,VN646,MNL,HAN,2026-03-11 21:20:00,21,11.0,20.0,60.0,63.0,2,20.0,,,,,,,,,,,74.0
VN-A500,A321-271NX,0.9,VJC,11/03,VJ963,ICN,HAN,2026-03-11 21:25:00,21,0.0,25.0,60.0,75.0,8,292.0,,,,,,,,,,,73.0
VN-A336,A321-231,13.6,VNA,11/03,VN205,HAN,SGN,2026-03-11 22:00:00,22,6.0,24.0,485.0,487.0,1,0.0,,,,,,,,,,,493.0
VN-A656,A320-214,10.9,VJC,11/03,VJ865,ICN,SGN,2026-03-11 22:00:00,22,2.0,23.0,95.0,131.0,5,101.0,,,,,,,,,,,133.0
VN-A666,A320-214,17.2,VJC,11/03,VJ179,HAN,SGN,2026-03-11 22:00:00,22,31.0,20.0,1845.0,1845.0,1,0.0,,,,,,,,,,,1876.0
VN-A505,A321-272N,6.5,VNA,11/03,VN7443,DAD,VCA,2026-03-11 22:20:00,22,6.0,10.0,410.0,420.0,1,0.0,,,,,,,,,,,426.0
VN-A637,A321-211,8.3,VJC,11/03,VJ260,SGN,VDH,2026-03-11 22:30:00,22,29.0,9.0,355.0,362.0,1,0.0,,,,,,,,,,,391.0
VN-A526,A321-271NX,3.3,VJC,11/03,VJ969,PUS,PQC,2026-03-11 22:35:00,22,10.0,18.0,65.0,70.0,2,18.0,,,,,,,,,,,80.0
VN-A693,A321-271N,7.0,VJC,11/03,VJ991,PUS,CXR,2026-03-11 22:35:00,22,0.0,86.0,65.0,11.0,6,111.0,,,,,,,,,,,-1342.0
VN-A629,A321-211,7.3,VJC,11/03,VJ124,SGN,HAN,2026-03-11 22:40:00,22,30.0,29.0,90.0,85.0,7,106.0,,,,,,,,,,,115.0
VN-A227,A321-211,13.0,BAV,11/03,QH201,HAN,SGN,2026-03-11 22:45:00,22,40.0,0.0,,111.0,1,0.0,,,,,,,,,,,151.0
VN-A630,A321-211,8.9,VJC,11/03,VJ871,TAE,CXR,2026-03-11 22:50:00,22,0.0,22.0,60.0,68.0,2,22.0,,,,,,,,,,,62.0
VN-A663,A320-214,10.5,VJC,11/03,VJ380,SGN,UIH,2026-03-11 22:50:00,22,13.0,62.0,555.0,524.0,1,0.0,,,,,,,,,,,537.0
VN-A623,A321-272N,7.1,VNA,11/03,VJ491,HAN,BMV,2026-03-11 22:55:00,22,5.0,48.0,460.0,426.0,1,0.0,,,,,,,,,,,431.0
VN-A632,A321-211,8.5,VJC,11/03,VJ491,HAN,BMV,2026-03-11 22:55:00,22,5.0,48.0,460.0,426.0,1,0.0,,,,,,,,,,,431.0
VN-A332,A321-231,14.3,VNA,11/03,VN101,DAD,SGN,2026-03-11 23:00:00,23,2.0,39.0,575.0,556.0,1,0.0,,,,,,,,,,,558.0
VN-A525,A321-271NX,2.5,VJC,11/03,VJ869,PUS,SGN,2026-03-11 23:00:00,23,53.0,65.0,65.0,40.0,5,99.0,,,,,,,,,,,93.0
VN-A888,A350-941,10.5,VNA,11/03,VN206,SGN,HAN,2026-03-11 23:00:00,23,27.0,13.0,620.0,639.0,1,0.0,,,,,,,,,,,666.0
VN-A891,A350-941,9.2,VNA,11/03,VN243,HAN,SGN,2026-03-11 23:00:00,23,16.0,11.0,65.0,78.0,3,26.0,,,,,,,,,,,94.0
VN-A636,A321-211,8.3,VJC,11/03,VJ421,HAN,PXU,2026-03-11 23:05:00,23,14.0,27.0,475.0,464.0,1,0.0,,,,,,,,,,,478.0
VN-A585,A321-211,14.1,BAV,11/03,QH150,SGN,DAD,2026-03-11 23:15:00,23,0.0,7.0,410.0,422.0,1,0.0,,,,,,,,,,,-730.0
VN-A672,A320-214,10.1,VJC,11/03,VJ524,DAD,HAN,2026-03-11 23:20:00,23,6.0,15.0,1015.0,1013.0,1,0.0,,,,,,,,,,,1019.0
VN-A539,A321-271NX,1.4,VJC,11/03,VJ356,SGN,BMV,2026-03-11 23:30:00,23,0.0,15.0,400.0,404.0,1,0.0,,,,,,,,,,,-1003.0
VN-A650,A320-214,11.1,VJC,11/03,VJ620,SGN,DAD,2026-03-11 23:30:00,23,0.0,22.0,305.0,309.0,1,0.0,,,,,,,,,,,-1093.0
VN-A671,A320-214,10.1,VJC,11/03,VJ952,HAN,HIJ,2026-03-11 23:35:00,23,11.0,18.0,80.0,119.0,9,187.0,,,,,,,,,,,130.0
VN-A323,A321-231,14.9,VNA,11/03,VN571,TPE,SGN,2026-03-11 23:45:00,23,0.0,39.0,635.0,615.0,1,0.0,,,,,,,,,,,-790.0
VN-A324,A321-231,14.8,VNA,11/03,VN156,DAD,HAN,2026-03-11 23:45:00,23,0.0,45.0,580.0,556.0,1,0.0,,,,,,,,,,,515.0
VN-A392,A321-231,13.5,VNA,11/03,VN1201,HAN,VCA,2026-03-11 23:45:00,23,9.0,11.0,455.0,471.0,1,0.0,,,,,,,,,,,480.0
VN-A617,A321-272N,7.3,VNA,11/03,VN1272,SGN,THD,2026-03-11 23:45:00,23,13.0,0.0,480.0,520.0,1,0.0,,,,,,,,,,,533.0
VN-A616,A321-272N,6.9,VNA,11/03,VN7045,HAN,SGN,2026-03-11 23:50:00,23,0.0,49.0,345.0,317.0,1,0.0,,,,,,,,,,,-1101.0
VN-A523,A321-271NX,0.9,VJC,11/03,VJ823,NRT,SGN,2026-03-11 23:55:00,23,0.0,45.0,80.0,84.0,6,132.0,,,,,,,,,,,-1344.0
VN-A325,A321-231,14.8,VNA,12/03,VN1237,HAN,PQC,2026-03-12 00:01:00,0,36.0,56.0,726.0,676.0,1,0.0,,,,,,,,,,,712.0
VN-A335,A321-231,13.6,VNA,12/03,VN343,NGO,SGN,2026-03-12 00:01:00,0,5.0,40.0,86.0,93.0,4,71.0,,,,,,,,,,,98.0
VN-A618,A321-272N,7.1,VNA,12/03,VN1340,SGN,CXR,2026-03-12 00:01:00,0,11.0,0.0,356.0,390.0,1,0.0,,,,,,,,,,,401.0
VN-A886,A350-941,10.8,VNA,12/03,VN240,SGN,HAN,2026-03-12 00:01:00,0,49.0,13.0,531.0,539.0,1,0.0,,,,,,,,,,,588.0
VN-A585,A321-211,14.1,BAV,12/03,QH203,HAN,SGN,2026-03-12 00:05:00,0,13.0,0.0,-35.0,1140.0,1,0.0,,,,,,,,,,,1153.0
VN-A619,A321-272N,7.1,VNA,12/03,VN7264,SGN,VII,2026-03-12 00:06:00,0,0.0,14.0,461.0,466.0,1,0.0,,,,,,,,,,,466.0
ER-00005,A320-214,12.2,BAV,12/03,QH204,SGN,HAN,2026-03-12 00:10:00,0,17.0,25.0,380.0,381.0,1,0.0,,,,,,,,,,,398.0
VN-A532,A321-211,11.0,VJC,12/03,VJ905,HAN,KUL,2026-03-12 00:10:00,0,23.0,11.0,155.0,182.0,7,140.0,,,,,,,,,,,205.0
VN-A672,A320-214,10.1,VJC,12/03,VJ431,HAN,UIH,2026-03-12 00:10:00,0,74.0,6.0,-30.0,-15.0,1,0.0,,,,,,,,,,,59.0
VN-A816,A330-343,10.3,VJC,12/03,VJ86,SYD,SGN,2026-03-12 00:15:00,0,14.0,43.0,190.0,173.0,2,43.0,,,,,,,,,,,187.0
VN-A674,A321-271N,7.6,VJC,12/03,VJ939,KIX,HAN,2026-03-12 00:20:00,0,19.0,5.0,90.0,86.0,2,5.0,,,,,,,,,,,105.0
VN-A334,A321-231,13.8,VNA,12/03,VN337,KIX,DAD,2026-03-12 00:30:00,0,7.0,27.0,125.0,135.0,2,27.0,,,,,,,,,,,142.0
VN-A390,A321-231,13.5,VNA,12/03,VN517,PKX,SGN,2026-03-12 00:30:00,0,86.0,115.0,120.0,5.0,8,281.0,,,,,,,,,,,91.0
VN-A393,A321-231,13.5,VNA,12/03,VN1615,HAN,PXU,2026-03-12 00:30:00,0,13.0,14.0,100.0,117.0,8,115.0,,,,,,,,,,,130.0
VN-A505,A321-272N,6.5,VNA,12/03,VN7442,VCA,DAD,2026-03-12 00:30:00,0,10.0,6.0,35.0,59.0,2,6.0,,,,,,,,,,,69.0
VN-A641,A321-211,8.8,VJC,12/03,VJ325,SGN,PQC,2026-03-12 00:30:00,0,30.0,7.0,560.0,562.0,1,0.0,,,,,,,,,,,592.0
VN-A653,A321-271N,7.5,VJC,12/03,VJ933,NRT,HAN,2026-03-12 00:30:00,0,17.0,5.0,90.0,112.0,7,172.0,,,,,,,,,,,129.0
VN-A663,A320-214,10.5,VJC,12/03,VJ381,UIH,SGN,2026-03-12 00:30:00,0,7.0,13.0,29.0,39.0,2,13.0,,,,,,,,,,,46.0
VN-A889,A350-941,10.4,VNA,12/03,VN349,NGO,HAN,2026-03-12 00:30:00,0,0.0,18.0,180.0,175.0,5,83.0,,,,,,,,,,,168.0
VN-A227,A321-211,13.0,BAV,12/03,QH103,HAN,DAD,2026-03-12 00:35:00,0,288.0,40.0,-25.0,-35.0,1,0.0,,,,,,,,,,,253.0
VN-A534,A321-271NX,5.3,VJC,12/03,VJ940,HAN,TPE,2026-03-12 00:35:00,0,11.0,14.0,495.0,508.0,1,0.0,,,,,,,,,,,519.0
VN-A637,A321-211,8.3,VJC,12/03,VJ261,VDH,SGN,2026-03-12 00:35:00,0,14.0,29.0,30.0,26.0,2,29.0,,,,,,,,,,,40.0
VN-A326,A321-231,14.7,VNA,12/03,VN163,HAN,DAD,2026-03-12 00:45:00,0,13.0,0.0,590.0,610.0,1,0.0,,,,,,,,,,,623.0
VN-A542,A321-211,10.0,VJC,12/03,VJ629,DAD,SGN,2026-03-12 00:50:00,0,12.0,28.0,465.0,453.0,1,0.0,,,,,,,,,,,465.0
VN-A539,A321-271NX,1.4,VJC,12/03,VJ357,BMV,SGN,2026-03-12 01:00:00,1,19.0,0.0,30.0,1466.0,2,0.0,,,,,,,,,,,1485.0
VN-A634,A321-211,8.3,VJC,12/03,VJ893,SGN,DPS,2026-03-12 01:00:00,1,32.0,41.0,150.0,136.0,3,91.0,,,,,,,,,,,168.0
VN-A639,A321-211,8.2,VJC,12/03,VJ1212,SGN,VII,2026-03-12 01:00:00,1,43.0,177.0,720.0,559.0,1,0.0,,,,,,,,,,,602.0
VN-A866,B787-900,10.2,VNA,12/03,VN321,KIX,SGN,2026-03-12 01:00:00,1,19.0,43.0,180.0,175.0,2,43.0,,,,,,,,,,,194.0
VN-A501,A321-272N,7.2,VNA,12/03,VN661,HAN,SIN,2026-03-12 01:05:00,1,8.0,13.0,590.0,597.0,1,0.0,,,,,,,,,,,605.0
VN-A636,A321-211,8.3,VJC,12/03,VJ422,PXU,HAN,2026-03-12 01:05:00,1,12.0,14.0,30.0,33.0,2,14.0,,,,,,,,,,,45.0
VN-A227,A321-211,13.0,BAV,12/03,QH151,DAD,SGN,2026-03-12 01:10:00,1,,288.0,-50.0,-314.0,1,0.0,,,,,,,,,,,
VN-A332,A321-231,14.3,VNA,12/03,VN1823,SGN,PQC,2026-03-12 01:10:00,1,27.0,2.0,40.0,63.0,2,2.0,,,,,,,,,,,90.0
VN-A503,A321-272N,6.8,VNA,12/03,VN431,ICN,DAD,2026-03-12 01:10:00,1,25.0,25.0,265.0,278.0,1,0.0,,,,,,,,,,,303.0
VN-A623,A321-272N,7.1,VNA,12/03,VJ492,BMV,HAN,2026-03-12 01:15:00,1,0.0,5.0,35.0,54.0,2,5.0,,,,,,,,,,,50.0
VN-A632,A321-211,8.5,VJC,12/03,VJ492,BMV,HAN,2026-03-12 01:15:00,1,0.0,5.0,35.0,54.0,2,5.0,,,,,,,,,,,50.0
VN-A516,A321-271NX,0.9,VJC,12/03,VJ7705,VVO,CXR,2026-03-12 01:17:00,1,0.0,0.0,470.0,470.0,1,0.0,,,,,,,,,,,470.0
VN-A544,A321-211,10.0,VJC,12/03,VJ394,SGN,PXU,2026-03-12 01:20:00,1,33.0,6.0,290.0,306.0,1,0.0,,,,,,,,,,,339.0
VN-A650,A320-214,11.1,VJC,12/03,VJ719,DAD,PQC,2026-03-12 01:25:00,1,43.0,0.0,35.0,1456.0,2,0.0,,,,,,,,,,,1499.0
VN-A862,B787-900,10.6,VNA,12/03,VN384,HAN,HND,2026-03-12 01:35:00,1,3.0,7.0,125.0,137.0,2,7.0,,,,,,,,,,,140.0
VN-A227,A321-211,13.0,BAV,12/03,QH208,SGN,HAN,2026-03-12 01:40:00,1,55.0,,,,1,0.0,,,,,,,,,,,
VN-A618,A321-272N,7.1,VNA,12/03,VN1341,CXR,SGN,2026-03-12 01:40:00,1,13.0,11.0,35.0,48.0,2,11.0,,,,,,,,,,,61.0
VN-A629,A321-211,7.3,VJC,12/03,VJ125,HAN,SGN,2026-03-12 01:40:00,1,30.0,30.0,50.0,45.0,8,136.0,,,,,,,,,,,75.0
VN-A329,A321-231,14.3,VNA,12/03,VN1591,HAN,VDH,2026-03-12 01:45:00,1,11.0,11.0,70.0,88.0,3,31.0,,,,,,,,,,,99.0
VN-A669,A320-214,16.5,VJC,12/03,VJ811,SGN,SIN,2026-03-12 01:50:00,1,35.0,35.0,529.0,523.0,1,0.0,,,,,,,,,,,558.0
VN-A815,A330-343,10.3,VJC,12/03,VJ773,HAN,CXR,2026-03-12 01:55:00,1,21.0,66.0,695.0,658.0,1,0.0,,,,,,,,,,,679.0
VN-A635,A321-211,8.4,VJC,12/03,VJ132,SGN,HAN,2026-03-12 02:00:00,2,15.0,14.0,770.0,788.0,1,0.0,,,,,,,,,,,803.0
VN-A888,A350-941,10.5,VNA,12/03,VN209,HAN,SGN,2026-03-12 02:00:00,2,19.0,27.0,55.0,50.0,2,27.0,,,,,,,,,,,69.0
VN-A658,A320-214,11.4,VJC,12/03,VJ324,PQC,SGN,2026-03-12 02:05:00,2,83.0,33.0,15.0,-12.0,8,223.0,,,,,,,,,,,71.0
VN-A646,A321-271N,8.2,VJC,12/03,VJ92,PER,SGN,2026-03-12 02:10:00,2,43.0,32.0,80.0,102.0,2,32.0,,,,,,,,,,,145.0
VN-A324,A321-231,14.8,VNA,12/03,VN611,HAN,BKK,2026-03-12 02:15:00,2,10.0,0.0,65.0,132.0,2,0.0,,,,,,,,,,,142.0
VN-A666,A320-214,17.2,VJC,12/03,VJ801,SGN,BKK,2026-03-12 02:15:00,2,26.0,31.0,125.0,118.0,2,31.0,,,,,,,,,,,144.0
VN-A672,A320-214,10.1,VJC,12/03,VJ430,UIH,HAN,2026-03-12 02:15:00,2,75.0,74.0,30.0,-27.0,2,74.0,,,,,,,,,,,48.0
VN-A864,B787-900,10.4,VNA,12/03,VN779,HAN,MEL,2026-03-12 02:15:00,2,22.0,11.0,740.0,796.0,1,0.0,,,,,,,,,,,818.0
VN-A891,A350-941,9.2,VNA,12/03,VN524,SGN,PVG,2026-03-12 02:20:00,2,36.0,16.0,70.0,74.0,4,42.0,,,,,,,,,,,110.0
VN-A336,A321-231,13.6,VNA,12/03,VN402,SGN,ICN,2026-03-12 02:25:00,2,21.0,6.0,135.0,157.0,2,6.0,,,,,,,,,,,178.0
VN-A617,A321-272N,7.3,VNA,12/03,VN1273,THD,SGN,2026-03-12 02:25:00,2,1.0,13.0,45.0,56.0,2,13.0,,,,,,,,,,,57.0
VN-A505,A321-272N,6.5,VNA,12/03,VN1670,DAD,HPH,2026-03-12 02:30:00,2,8.0,10.0,35.0,43.0,3,16.0,,,,,,,,,,,51.0
VN-A812,A330-343,15.5,VJC,12/03,VJ602,SGN,CXR,2026-03-12 02:30:00,2,29.0,0.0,1470.0,2915.0,1,0.0,,,,,,,,,,,2944.0
VN-A392,A321-231,13.5,VNA,12/03,VN1200,VCA,HAN,2026-03-12 02:35:00,2,9.0,9.0,35.0,48.0,2,9.0,,,,,,,,,,,57.0
VN-A535,A321-211,10.1,VJC,12/03,VJ915,HAN,SIN,2026-03-12 02:35:00,2,20.0,15.0,765.0,773.0,1,0.0,,,,,,,,,,,793.0
VN-A227,A321-211,13.0,BAV,12/03,QH104,DAD,HAN,2026-03-12 02:40:00,2,598.0,55.0,-70.0,-100.0,1,0.0,,,,,,,,,,,498.0
VN-A326,A321-231,14.7,VNA,12/03,VN164,DAD,HAN,2026-03-12 02:40:00,2,20.0,13.0,35.0,41.0,2,13.0,,,,,,,,,,,61.0
VN-A393,A321-231,13.5,VNA,12/03,VN1614,PXU,HAN,2026-03-12 02:40:00,2,5.0,13.0,35.0,46.0,9,128.0,,,,,,,,,,,51.0
VN-A663,A320-214,10.5,VJC,12/03,VJ825,SGN,KUL,2026-03-12 02:40:00,2,38.0,7.0,65.0,71.0,3,20.0,,,,,,,,,,,109.0
VN-A332,A321-231,14.3,VNA,12/03,VN1822,PQC,SGN,2026-03-12 02:45:00,2,40.0,27.0,35.0,23.0,3,29.0,,,,,,,,,,,63.0
VN-A536,A321-271NX,3.2,VJC,12/03,VJ897,SGN,DPS,2026-03-12 02:45:00,2,49.0,9.0,540.0,539.0,1,0.0,,,,,,,,,,,588.0
