DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS,std_utc,atd_utc,sta_utc,status_utc,scheduled_dep_hour,dep_delay_minutes,prev_sta_utc,prev_status_utc,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,actual_turnaround,has_prev_leg,is_new_chain,chain_id,flight_legs,cumulative_delay
23/03,QH268,SGN,HAN,1h48m,12:35,13:09,14:45,Landed 21:57,green,2026-03-23 14:57,108.0,2026-03-23 12:35:00,2026-03-23 13:09:00,2026-03-23 14:45:00,2026-03-23 14:57:00,12,34.0,2026-03-23 11:45:00,2026-03-23 11:57:00,37.0,50.0,38.0,72.0,1,0,18,5,54.0
23/03,QH255,HAN,SGN,1h50m,09:30,10:07,11:45,Landed 18:57,green,2026-03-23 11:57,110.0,2026-03-23 09:30:00,2026-03-23 10:07:00,2026-03-23 11:45:00,2026-03-23 11:57:00,9,37.0,2026-03-23 08:25:00,2026-03-23 08:14:00,6.0,65.0,76.0,113.0,1,0,18,4,17.0
23/03,QH242,SGN,HAN,1h53m,06:15,06:21,08:25,Landed 15:14,green,2026-03-23 08:14,113.0,2026-03-23 06:15:00,2026-03-23 06:21:00,2026-03-23 08:25:00,2026-03-23 08:14:00,6,6.0,2026-03-23 05:25:00,2026-03-23 04:57:00,2.0,50.0,78.0,84.0,1,0,18,3,11.0
23/03,QH211,HAN,SGN,1h45m,03:10,03:12,05:25,Landed 11:57,green,2026-03-23 04:57,105.0,2026-03-23 03:10:00,2026-03-23 03:12:00,2026-03-23 05:25:00,2026-03-23 04:57:00,3,2.0,2026-03-23 02:20:00,2026-03-23 02:01:00,9.0,50.0,69.0,71.0,1,0,18,2,9.0
23/03,QH204,SGN,HAN,1h42m,00:10,00:19,02:20,Landed 09:01,green,2026-03-23 02:01,102.0,2026-03-23 00:10:00,2026-03-23 00:19:00,2026-03-23 02:20:00,2026-03-23 02:01:00,0,9.0,2026-03-22 17:50:00,2026-03-22 17:26:00,8.0,380.0,404.0,413.0,1,1,18,1,0.0
22/03,QH283,HAN,SGN,1h43m,15:35,15:43,17:50,Landed 00:26,green,2026-03-22 17:26,103.0,2026-03-22 15:35:00,2026-03-22 15:43:00,2026-03-22 17:50:00,2026-03-22 17:26:00,15,8.0,2026-03-22 14:45:00,2026-03-22 14:38:00,19.0,50.0,57.0,65.0,1,0,17,6,135.0
22/03,QH268,SGN,HAN,1h44m,12:35,12:54,14:45,Landed 21:38,green,2026-03-22 14:38,104.0,2026-03-22 12:35:00,2026-03-22 12:54:00,2026-03-22 14:45:00,2026-03-22 14:38:00,12,19.0,2026-03-22 11:45:00,2026-03-22 11:46:00,31.0,50.0,49.0,68.0,1,0,17,5,116.0
22/03,QH255,HAN,SGN,1h45m,09:30,10:01,11:45,Landed 18:46,green,2026-03-22 11:46,105.0,2026-03-22 09:30:00,2026-03-22 10:01:00,2026-03-22 11:45:00,2026-03-22 11:46:00,9,31.0,2026-03-22 08:25:00,2026-03-22 08:51:00,54.0,65.0,39.0,70.0,1,0,17,4,85.0
22/03,QH242,SGN,HAN,1h42m,06:15,07:09,08:25,Landed 15:51,yellow,2026-03-22 08:51,102.0,2026-03-22 06:15:00,2026-03-22 07:09:00,2026-03-22 08:25:00,2026-03-22 08:51:00,6,54.0,2026-03-22 05:25:00,2026-03-22 05:28:00,18.0,50.0,47.0,101.0,1,0,17,3,31.0
22/03,QH211,HAN,SGN,2h0m,03:10,03:28,05:25,Landed 12:28,green,2026-03-22 05:28,120.0,2026-03-22 03:10:00,2026-03-22 03:28:00,2026-03-22 05:25:00,2026-03-22 05:28:00,3,18.0,2026-03-22 02:20:00,2026-03-22 02:07:00,13.0,50.0,63.0,81.0,1,0,17,2,13.0
22/03,QH204,SGN,HAN,1h44m,00:10,00:23,02:20,Landed 09:07,green,2026-03-22 02:07,104.0,2026-03-22 00:10:00,2026-03-22 00:23:00,2026-03-22 02:20:00,2026-03-22 02:07:00,0,13.0,2026-03-21 11:45:00,2026-03-21 11:31:00,19.0,745.0,759.0,772.0,1,1,17,1,0.0
21/03,QH255,HAN,SGN,1h42m,09:30,09:49,11:45,Landed 18:31,green,2026-03-21 11:31,102.0,2026-03-21 09:30:00,2026-03-21 09:49:00,2026-03-21 11:45:00,2026-03-21 11:31:00,9,19.0,2026-03-21 08:25:00,2026-03-21 08:28:00,34.0,65.0,62.0,81.0,1,0,16,4,61.0
